"","x"
"1391","ACE"
"1392","CROSSROADS"
"1393","MLM"
"1394","RO"
"1395","ATLANTIATLANTA"
"1396","LKXXXXXXXX"
"1397","COASTA"
"1398","NVUS"
"1399","PEACHTRE"
"1400","COUNTR"
"1401","FASH"
"1402","PURXXXXX"
"1403","Share"
"1404","SOUTHGAT"
"1405","ANGEDEBIT"
"1406","XXXXXXXXXXXXXXXXXXXXXX"
"1407","BLUFFIA"
"1408","GREENBRI"
"1409","MONTGOME"
"1410","PAYMT"
"1411","VEGASNV"
"1412","BC"
"1413","LITTLETONCO"
"1414","SOUTHG"
"1415","EFT"
"1416","FLAARLINGTON"
"1417","KILL"
"1418","OKUS"
"1419","PaymentFeeDillardsGEM"
"1420","Reference"
"1421","PPD"
"1422","WESTOA"
"1423","INDEPE"
"1424","PRESCO"
"1425","COLUMBI"
"1426","XXXXXX8743"
"1427","SANT"
"1428","ALTAMONT"
"1429","CK"
"1430","XXXXXXXXXDA"
"1431","ARBOR"
"1432","QUAI"
"1433","Tn"
"1434","TWIN"
"1435","HAVADEBIT"
"1436","REDEPCHECK"
"1437","SOUTHL"
"1438","ANTELO"
"1439","CITAD"
"1440","Preauth"
"1441","UNIV"
"1442","INITIATED"
"1443","LAUDERD"
"1444","GALL"
"1445","WM"
"1446","AC"
"1447","DECREASE"
"1448","ISL"
"1449","Ky"
"1450","National"
"1451","OTHER"
"1452","COLORADODEBIT"
"1453","DebitDILLARDS"
"1454","HDWE"
"1455","DOLLAR"
"1456","NEWGAT"
"1457","WICHIT"
"1458","INTERNATL"
"1459","PINNACL"
"1460","ROLLINGSAN"
"1461","TEXARK"
"1462","WEBWalMart"
"1463","BEACDEBIT"
"1464","ITEM"
"1465","MELBOU"
"1466","IMPERI"
"1467","CKFXXXXX0141POS"
"1468",NA
"1469","PARKWA"
"1470","SHOR"
"1471","GOVERNR"
"1472","HULE"
"1473","LAKELINCEDAR"
"1474","MEXICAN"
"1475","Mo"
"1476","TRANSFER"
"1477","TREASURJENSEN"
"1478","FARMIN"
"1479","OHXXXXXXXXXXXXXXXX"
"1480","CITR"
"1481","DIRECT"
"1482","STAGE"
"1483","XXXXX3725"
"1484","COCONUTESTERO"
"1485","GALLERI"
"1486","Oct"
"1487","PERI"
"1488","unlocked"
"1489","XXXXX1002"
"1490","Details"
"1491","ECC"
"1492","JEFFER"
"1493","PRESCOTTAZ"
"1494","SUMMITSRENO"
"1495","XXXXX8002"
"1496","You"
"1497","Apr"
"1498","AZ12"
"1499","CLA"
"1500","COAS"
"1501","COLUMBUSDEBIT"
"1502","FLAGST"
"1503","INGR"
"1504","LAKESIDMETARIE"
"1505","MOUNTAIN"
"1506","WithdrawalXXXXXXXXXX"
"1507","DRIVE"
"1508","GOVERNOR"
"1509","MARK"
"1510","PETERSB"
"1511","POI"
"1512","XXXXXXXXXXXXX"
"1513","ARROWHEGLENDALE"
"1514","BROWAR"
"1515","Co"
"1516","HENDERSONNV"
"1517","MC"
"1518","MOUS"
"1519","RIMROCK"
"1520","SWINTER"
"1521","WORT"
"1522","LONGVIEWTX"
"1523","LWS"
"1524","METAIRIELA"
"1525","TRANS"
"1526","TX01"
"1527","VISADEBIT"
"1528","WEBLowes"
"1529","ANTO"
"1530","COMPANY"
"1531","DILLARDSDILLARDS"
"1532","HAMI"
"1533","HOUSTONTX"
"1534","LL"
"1535","Oh"
"1536","UNIVER"
"1537","Aug"
"1538","BISTR"
"1539","CAROLI"
"1540","COOLSPRI"
"1541","L343"
"1542","NMUS"
"1543","NORTHS"
"1544","PLAZ"
"1545","XXXXXXXXXXXXXX"
"1546","ACHTR"
"1547","BART"
"1548","BROOMF"
"1549","COU"
"1550","INTER"
"1551","MAB"
"1552","MABELVALE"
"1553","XXXXDEBIT"
"1554","COOL"
"1555","GALLER"
"1556","HENDERS"
"1557","NATIONAL"
"1558","ANTON"
"1559","ARUS"
"1560","ARXXXXXX"
"1561","CKFXXXXX2167POS"
"1562","CUCARD"
"1563","GOVN"
"1564","Memo"
"1565","NORTHLAK"
"1566","NORTHPOALPHARETTA"
"1567","RF"
"1568","XXXXX4002"
"1569","GAXXXXXX"
"1570","MEA"
"1571","OKLAHOMADEBIT"
"1572","PEMB"
"1573","Pending"
"1574","SEA"
"1575","SUBWAY"
"1576","XXXXX5002"
"1577","ALTAMO"
"1578","BOSSI"
"1579","CACHE"
"1580","CKFPOS"
"1581","FASHIONSCOTTSDALE"
"1582","L341"
"1583","NORTHL"
"1584","Nv"
"1585","PROM"
"1586","XXXXX3090"
"1587","ANT"
"1588","ASHEVILL"
"1589","CAPITALONE"
"1590","CRES"
"1591","myLunchMone"
"1592","OHXXXXXX"
"1593","RETURN"
"1594","SUMM"
"1595","SUMME"
"1596","WEBERSTO"
"1597","WESTERN"
"1598","XXXXX3002"
"1599","XXXXX8012"
"1600","Category"
"1601","CKFXXXXX5785POS"
"1602","CL"
"1603","COUNTRYCLEARWATER"
"1604","EDGWATER"
"1605","PY"
"1606","XXXXX6355"
"1607","XXXXX8873"
"1608","XXXXXX3872"
"1609","ACCT"
"1610","AMARILLAMARILLO"
"1611","ATLA"
"1612","CKCD"
"1613","HEND"
"1614","IDXXXXXX"
"1615","LONGVI"
"1616","MAN"
"1617","MATUCSON"
"1618","NORTHLA"
"1619","PIERRE"
"1620","PINNACLROGERS"
"1621","SQOKLAHOMA"
"1622","SUNLANDEL"
"1623","BEAUMONTTX"
"1624","CAZ"
"1625","CreditCard"
"1626","DESC"
"1627","ESPLAN"
"1628","SIG"
"1629","TRACE"
"1630","XXXXXSVILLE"
"1631","XXXXXX9049"
"1632","BO"
"1633","BOC"
"1634","FeeDillardsGEMB"
"1635","GATEWA"
"1636","HOLL"
"1637","Merchant"
"1638","OVERDRAFT"
"1639","SEMI"
"1640","XXXXXX0017"
"1641","Belk"
"1642","FIREWHEE"
"1643","GDEBIT"
"1644","Jul"
"1645","REDEPCHEC"
"1646","WEBBelk"
"1647","XXXXX1334"
"1648","CANT"
"1649","FAYETT"
"1650","HIGHLAND"
"1651","HWDILLARD"
"1652","KILLEENKILLEEN"
"1653","MERRY"
"1654","NORM"
"1655","NORTH7408"
"1656","SCOOTERS"
"1657","SM"
"1658","Tran"
"1659","UNIVERSTAMPA"
"1660","CKFXXXXX9551POS"
"1661","HARLIN"
"1662","ODEBIT"
"1663","TRIANG"
"1664","UNIVERS"
"1665","WILLOWBR"
"1669","ANTONIOTX"
"1670","EASTDA"
"1671","Expires"
"1672","GATE"
"1673","GRADEBIT"
"1674","LLC"
"1675","PROMEN"
"1676","St"
"1677","WESTRI"
"1678","XXXXXXXTON"
"1679","CHARLOTPT"
"1680","MCAL"
"1681","PERIMETATLANTA"
"1682","Posted"
"1683","QU"
"1684","SCOT"
"1685","SEMINOLSANFORD"
"1686","SQU"
"1687","STOCKTONCA"
"1688","VILLAG"
"1689","WIRE"
"1690","WOLFCH"
"1694","ANGEL"
"1695","CKFXXXXX7753POS"
"1696","External"
"1697","FeeDillard"
"1698","MCALIST"
"1699","TRIA"
"1700","WITHDRAWALDILLARDS"
"1701","WOLF"
"1706","ALEXAN"
"1707","ALTA"
"1708","AMARIL"
"1709","Ca"
"1710","CARO"
"1711","COPPEROPODEBIT"
"1712","FLAGSTAFDEBIT"
"1713","IDUS"
"1714","JUBILE"
"1715","MCDILLARD"
"1716","PASOEL"
"1717","ROLL"
"1718","SOUTHGASARASOTA"
"1719","STONECRE"
"1720","Stre1001"
"1721","WESTOAKHOUSTON"
"1722","WI"
"1723","WINSTONSALE"
"1724","XXXXX5215"
"1725","XXXXXXXXDILLARDS"
"1726","AMEX"
"1727","BCBSGA"
"1728","BR"
"1729","Class"
"1730","Consumer"
"1731","Fee"
"1732","WEBDillards"
"1733","WICHI"
"1734","CARR"
"1735","CHADEBIT"
"1736","Ckcard"
"1737","CKFXXXXX0946POS"
"1738","COOLSPR"
"1739","COUNTRY"
"1740","HALAKE"
"1741","PKW"
"1742","VOLUSI"
"1745","BIRDSEYE"
"1746","CKFXXXXX9579POS"
"1747","HAYWOOD"
"1748","PK"
"1749","SYNCBDILLARDS"
"1750","Tx"
"1751","TYRO"
"1752","WOODLANTULSA"
"1760","XXXXXXDILLARDS"
"1761","ARLINGTO"
"1762","ARRO"
"1763","CAONLINE"
"1764","CKFXXXXX0012POS"
"1765","CKFXXXXX1600POS"
"1766","FIRS"
"1767","GOVERNRTALLAHASSEE"
"1768","HUNTSVIL"
"1769","KENW"
"1770","SH"
"1771","TREA"
"1772","VS"
"1773","WE"
"1774","XXXXX1738"
"1775","XXXXX5355"
"1776","XXXXXX3387"
"1777","XXXXXX7444"
"1778","ANDERS"
"1779","GALLERIST"
"1780","SDILLARD"
"1781","TUCS"
"1782","TURTLE"
"1783","U2"
"1784","WELLINGTO"
"1792","ALTAM"
"1793","ALTAMON"
"1794","AM"
"1795","COUNTRYSI"
"1796","DEBITS"
"1797","KENTUCKY"
"1798","LDEBIT"
"1799","MCARTHUNORFOLK"
"1800","preauthorized"
"1801","REGE"
"1802","SAL"
"1803","VOLU"
"1804","wd"
"1805","XFER"
"1806","XXXXX7073"
"1807","XXXXX7348"
"1808","ALTAMONTESP"
"1809","ANTONIOTXUS"
"1812","COCONU"
"1813","EA"
"1814","FLUS0015"
"1815","INST"
"1816","JACKSONV"
"1817","MACARTHUR"
"1818","NORTHWEST"
"1819","ORLEANS"
"1820","SAVA"
"1821","Sep"
"1822","WIREG"
"1829","2233DEBIT"
"1830","BRAY"
"1831","CKFXXXXX7893POS"
"1832","DEERBROO"
"1833","DILLACARY"
"1834","DOUGLASVILL"
"1835","HARDWARE"
"1836","MANH"
"1837","May"
"1838","MELBOURNEFL"
"1839","Processed"
"1840","TRN"
"1841","VOLUSIADAYTONA"
"1847","Cc"
"1848","CHESTERCHESTERFIELD"
"1849","CKFXXXXX3484POS"
"1850","CKFXXXXX6909POS"
"1851","DOMA"
"1852","FCU"
"1853","FSANTA"
"1854","KAREN"
"1855","MAGAINESVILLE"
"1856","MEMO"
"1857","NCHARLESTON"
"1858","Sprco"
"1859","STONES"
"1860","VAL"
"1869","XXXXXX7005"
"1870","DR"
"1871","Dual"
"1872","INDEPENWILMINGTON"
"1873","INN"
"1874","MELITTLETON"
"1875","MERRIT"
"1876","MEXIC"
"1877","NAME"
"1878","NORTHPO"
"1879","PALMDALECA"
"1880","PECANLAND"
"1881","PEMBRO"
"1882","PEMBROK"
"1883","PURXXXXXX"
"1884","SCORPUS"
"1890","CKFXXXXX4014POS"
"1891","CPANAMA"
"1892","Jun"
"1893","LKXXXXXX"
"1894","PAMA"
"1895","SAVANNA"
"1896","TNXXXXXX"
"1897","VALDOSTA"
"1903","ALEXANDRI"
"1904","American"
"1905","BROWNSVI"
"1906","CAROLIN"
"1907","CATYPE"
"1911","GREENHI"
"1912","Id"
"1913","MANHATT"
"1914","MIDD"
"1915","NORTHWOO"
"1916","OHUS"
"1917","PCHARLOTTE"
"1918","SUNL"
"1919","Theory"
"1920","TRIANGLRALEIGH"
"1921","VEGADEBIT"
"1922","x2f"
"1927","XXXXXX2468"
"1928","ANXXXXO"
"1929","Ar"
"1930","ARROWHEA"
"1931","AZ11"
"1932","BEACHW"
"1933","CAIN"
"1934","CARRI"
"1935","CHARL"
"1941","DebitDILLARD"
"1942","GREENBRIE"
"1943","GREENHINASHVILLE"
"1944","GREENSPHOUSTON"
"1945","HATTIESBUR"
"1946","In"
"1947","NEWGA"
"1948","Note"
"1949","PEACHTR"
"1950","RICHMONDIN"
"1951","SEGREENSBORO"
"1952","SHO"
"1953","VICT"
"1954","WOLFCHAS"
"1964","Y0000"
"1965","5311Card"
"1966","ATLANTI"
"1967","CITADELCOLORADO"
"1970","COOLSP"
"1971","EDGEWATBILOXI"
"1972","EWICHITA"
"1973","HILLTX"
"1974","KYUS"
"1975","LEWISVIL"
"1976","LEXINGTONKY"
"1977","quai"
"1978","WOR"
"1988","XXXXXXXXXXXX6007"
"1989","BKOFAMERICA"
"1990","CAUS"
"1991","CHARLO"
"1996","COLUMBUSGA"
"1997","EB"
"1998","Express"
"1999","Location"
"2000","MATTLOUISVILLE"
"2001","MIL"
"2002","Ne"
"2003","PLLITTLE"
"2004","REGENCYJACKSONVILLE"
"2005","sprioklahoma"
"2020","BEACHWOBEACHWOOD"
"2021","CHESTERFI"
"2022","CKFXXXXX1296POS"
"2023","CKFXXXXX4403POS"
"2024","DILLAR"
"2025","ES"
"2026","HOL"
"2027","LITHONIAGA"
"2028","Nm"
"2029","OAKW"
"2030","PUM"
"2031","SHERMANSHERMAN"
"2032","Signature"
"2033","SUNS"
"2034","TREASU"
"2035","TX08"
"2036","Ut"
"2050","Az"
"2051","CKFXXXXX0824POS"
"2052","CKFXXXXX4835POS"
"2053","COASTALMYRTLE"
"2054","DILLARDCLEMSON"
"2055","FRAN"
"2056","IAUS"
"2057","MADISO"
"2058","NEUS"
"2059","PEAK"
"2060","PEARLANPEARLAND"
"2061","PINNACLEH"
"2062","SBOISE"
"2063","SERIAL"
"2064","US1033WINTER"
"2081","AZ09"
"2082","BEACHWOODDILLARDS"
"2083","CAROLINPINEVILLE"
"2084","CKFXXXXX8361POS"
"2085","DIRECTDEBIT"
"2086","GRACIES"
"2087","IMPERIAEL"
"2088","JACKSO"
"2089","MIDWAY"
"2090","PARADISPHOENIX"
"2091","RICH"
"2092","WEBE"
"2093","WESTGA"
"2113","AMZC"
"2114","AUGUSTAAUGUSTA"
"2115","BAL"
"2116","CENTROCA"
"2117","CHATTANOODEBIT"
"2118","DESERT"
"2119","Direct"
"2120","GARLANDTX"
"2121","HDW"
"2122","Islandne"
"2123","KILLE"
"2124","LITTLETO"
"2125","MANHATTANKS"
"2126","PAYMENTPPD"
"2127","SEMINOL"
"2128","STJOH"
"2129","STRE"
"2130","VICTOR"
"2131","WEBAmazon"
"2132","WELL"
"2152","ACADIANLAFAYETTE"
"2156","Debitdebit"
"2157","Frost"
"2158","GOVERNORS"
"2159","Grand"
"2160","GREENS"
"2161","Henderson"
"2162","MELBOURMELBOURNE"
"2163","NOR"
"2164","OLMSTED"
"2165","PEACHTRECOLUMBUS"
"2166","SOUTHW"
"2167","STREET"
"2186","ALTAMONALTAMONTE"
"2187","ANTE"
"2188","ASHEVI"
"2189","Bank"
"2190","CARRIAG"
"2194","COIDXXXXXXXXXX"
"2195","FeeDillardsGE"
"2196","GARD"
"2197","HAMILTO"
"2198","LAKELA"
"2199","NMXXXXXX"
"2200","ORLANDOFL"
"2201","SK"
"2202","VALL"
"2203","WASH"
"2204","WIN"
"2238","XXXXXXXXXXXX1696"
"2239","AIHOUSTON"
"2240","AISLEDILLARDS"
"2241","AZ10"
"2242","BEACHWOODOH"
"2243","BILLPAY"
"2244","BISCUI"
"2245","CITADELCHARLESTON"
"2246","COOLSPRIN"
"2247","CORDOVAPENSACOLA"
"2248","dil"
"2249","DRI"
"2250","epay"
"2251","FLAGSTAFFAZ"
"2252","HARLINGENTX"
"2253","Kepaducah"
"2254","MAC"
"2255","MELB"
"2256","PAROVERLAND"
"2257","PEAKS"
"2258","STONECRES"
"2259","Today"
"2260","TREAS"
"2261","WEBERST"
"2262","WOLFCHA"
"2297","ABIXXXX"
"2298","BP"
"2299","CARDDILLARD"
"2303","DIET"
"2304","HIGHLANDS"
"2305","JCP"
"2306","LOOP"
"2307","MCAR"
"2308","PANA"
"2309","PARA"
"2310","PASOTX"
"2311","Pay"
"2312","PERIMET"
"2313","RDOVA"
"2314","SOUTHA"
"2345","ANNETTES"
"2346","Boise"
"2347","BOS"
"2348","CAPITAL"
"2349","CARDDILLARDS"
"2350","Cash"
"2351","CATHEY"
"2352","COCO"
"2353","COLUMBICOLUMBIA"
"2354","COUR"
"2355","EDGEWAT"
"2356","GREENH"
"2357","Ia"
"2358","ILDate"
"2359","INDE"
"2360","NW"
"2361","PREAUTHORIZED"
"2362","SHREVEPODEBIT"
"2363","Sig"
"2364","SOU"
"2365","SPRIN"
"2366","WILLOWBROOK"
"2367","WIR"
"2368","WIREGRAS"
"2414","ALBA"
"2415","BISTRO"
"2416","CARRIA"
"2420","DEBITCARD"
"2421","ECHECK"
"2422","FLAG"
"2423","GALLE"
"2424","KSXXXXXX"
"2425","PS"
"2426","SOKLAHOMA"
"2427","VIST"
"2428","WEBJCPenney"
"2429","WILL"
"2471","XXXXXXXXDILLARD"
"2472","XXXXXXXXXXXX6500"
"2473","ANIMAS"
"2474","BATTLEFI"
"2475","CHANDLECHANDLER"
"2476","CHRISTMAS"
"2485","COLO"
"2486","debit"
"2487","EXXONMOBIL"
"2488","FAYE"
"2489","FRONTI"
"2490","HAMMON"
"2491","HARLINGE"
"2492","ILLINOIS"
"2493","INDEPEN"
"2494","KILLEENTX"
"2495","LAKELANDFL"
"2496","MACH"
"2497","NON"
"2498","PEMBR"
"2499","RDEBIT"
"2500","RODEBIT"
"2501","SE"
"2502","SUMMITS"
"2503","tran"
"2504","UPTO"
"2547","ACHDW"
"2548","ALICIA"
"2549","ALLY"
"2550","BAYB"
"2551","CH"
"2552","CHRIS"
"2558","DR5625"
"2559","EASTRIDG"
"2560","EDGW"
"2561","FAYETTEVDEBIT"
"2562","FDEBIT"
"2563","Goodlettsviltn"
"2564","HERITA"
"2565","Hiky"
"2566","INDEPEND"
"2567","LAFAYETTEDEBIT"
"2568","LAKELIN"
"2569","NATIO"
"2570","NVUS0015"
"2571","PECANLAN"
"2572","Q1DXXXXXXAXXXXX"
"2573","SAVINGS"
"2574","SOON"
"2575","TXCard"
"2641","XXXXXXXXXXDIL"
"2642","YESTERDAYS"
"2643","BROW"
"2644","CHECKING"
"2663","Clarksville"
"2664","Club"
"2665","COLUMBIAN"
"2666","CRESTV"
"2667","Ddnashville"
"2668","FORE"
"2669","GAP"
"2670","GRILL"
"2671","HEIG"
"2672","MIDL"
"2673","MIDWESTERN"
"2674","MIDXXXX"
"2675","Pri"
"2676","Store"
"2677","VE"
"2678","VICTORIVICTORIA"
"2679","WES"
"2680","WIALBUQUERQUE"
"2757","XXXXXXDILLARD"
"2771","Crcrestview"
"2772","FIRE"
"2773","FLOR"
"2774","HOLIDAY"
"2775","ILUS"
"2776","LONGMONTDEBIT"
"2777","MCXXXXX"
"2778","MELBOUR"
"2779","Palittleton"
"2780","paymt"
"2781","PLUS"
"2782","TRU"
"2783","VICARY"
"2784","WINR"
"2846","ALAM"
"2847","ALAMAN"
"2848","ATLAN"
"2849","AUTOMATIC"
"2850","CHECKPA"
"2851","CHESTER"
"2873","DEBITC"
"2874","DebitDillards"
"2875","DETAILS"
"2876","DWINTER"
"2877","EASTLANEVANSVILLE"
"2878","ESPLANADE"
"2879","FORU"
"2880","FRIENDSWO"
"2881","Future"
"2882","HAMILTOCHATTANOOGA"
"2883","HONOR"
"2884","INSURANCE"
"2885","KENWOO"
"2886","MCALLENMCALLEN"
"2887","MSXXXXXX"
"2888","NORTHPARRIDGELAND"
"2889","ONE"
"2890","SAMS"
"2891","SERVICES"
"2892","Shop"
"2893","SOUTHGA"
"2894","squaroklahoma"
"2895","TELEPHONE"
"2896","WEBSams"
"3000","YMT"
"3001","Amount"
"3002","CHARLESTDEBIT"
"3003","CINDYS"
"3018","DENTAL"
"3019","EASTRIDGASTONIA"
"3020","EDIS"
"3021","FL12"
"3022","MEMBER"
"3023","MONTICELLO"
"3024","Network"
"3025","NORTHLACHARLOTTE"
"3026","PALM"
"3027","Paper"
"3028","Patricia"
"3029","PEACHTRCOLUMBUS"
"3030","Pre"
"3031","RIVERGAT"
"3032","SOUTHLA"
"3033","Springfield"
"3034","TOKNOXVILLE"
"3035","TRANSACTION"
"3036","UTUS"
"3037","WAUWATOSA"
"3038","WEBTOYSRUS"
"3039","XXXXSVILLE"
"3139","XXXXXXXXXXDILLARDSCOTT"
"3140","ALXXXXXX"
"3141","ANDREW"
"3142","ATL"
"3143","Billpay"
"3166","COTTONW"
"3167","COUMEMPHIS"
"3168","EASTRI"
"3169","Ending"
"3170","GREA"
"3171","HAMILT"
"3172","HANE"
"3173","JAC"
"3174","JESSICA"
"3175","LONG"
"3176","Louis"
"3177","Malouisville"
"3178","MANHATTA"
"3179","MATT"
"3180","MCALISTGREENVILLE"
"3181","MCARTHU"
"3182","MOIN"
"3183","MSDEBIT"
"3184","NAPL"
"3185","OAKWOODGRETNA"
"3186","Parks"
"3187","PARKWAYHUNTSVILLE"
"3188","PNCPA4091"
"3189","PYM"
"3190","RECURRING"
"3191","RIV"
"3192","RIVERGA"
"3193","ROAD"
"3194","ROKANSAS"
"3195","SANANTONIO"
"3196","STRE624"
"3197","TALLAHASDEBIT"
"3198","TX02"
"3199","UNIVERSIT"
"3200","VILL"
"3201","XXXXET"
"3355","XXXXXXXXX2314"
"3356","ACAD"
"3357","amx"
"3358","BEAR"
"3359","BOARDMANOH"
"3360","BRANDONFL"
"3361","CHES"
"3362","CIEL"
"3377","DILLARDxe2x80x99S"
"3378","EAGL"
"3379","FLAT"
"3380","FRANKLINDEBIT"
"3381","FUNDS"
"3382","GOODLETTDEBIT"
"3383","GULFVIEPORT"
"3384","HIGHWAY"
"3385","ISLAN"
"3386","Ks"
"3387","LAZY"
"3388","Little"
"3389","LOUISVILDEBIT"
"3390","malnorman"
"3391","MARKE"
"3392","Merchant_5311"
"3393","NORTHPADAVENPORT"
"3394","NUMBER"
"3395","RMARY"
"3396","SAVANNASAVANNAH"
"3397","SHERMA"
"3398","SHORTSTOP"
"3399","STREET950"
"3400","SUPE"
"3401","SWANSBORO"
"3402","TRIANGL"
"3403","TX06"
"3404","VICKSB"
"3578","XXXXXXXXXXXX9636"
"3579","XXXXXXXXXXXXXXXXREF"
"3580","YO"
"3581","170B"
"3582","AISLE"
"3583","ANDE"
"3584","ATMPOS"
"3585","BARTO"
"3586","BEAUMONBEAUMONT"
"3587","BILT"
"3588","BROOMFIEL"
"3589","CHAR"
"3590","Chcolorado"
"3591","CINCINNADEBIT"
"3609","Colorado"
"3610","Confirmation"
"3611","DD"
"3612","DDAPUR"
"3613","DR5630"
"3614","EASTCHAMONTGOMERY"
"3615","FARMINGFARMINGTON"
"3616","FASHI"
"3617","GA01"
"3618","GRAN"
"3619","INQ"
"3620","INSUFFICIENT"
"3621","LONGVIELONGVIEW"
"3622","Mt"
"3623","STONECRLITHONIA"
"3624","SW"
"3625","TOPE"
"3626","UDILLARD"
"3627","VBASE2"
"3628","VOLUS"
"3629","WEBXXXXXXXXX"
"3630","wne"
"3835","XXXXXXXXXXXX3175"
"3836","ACA"
"3837","AMARILLOTX"
"3838","ARC"
"3839","AZ01"
"3840","BA"
"3841","BEACVAUS"
"3842","Bebeachwood"
"3859","Conf"
"3860","DIRECTDEBITDILLARDS"
"3861","EXP"
"3862","FASHIONMURRAY"
"3863","FEEDILLARD"
"3864","FIRSTCO"
"3865","FXXXXXX"
"3866","GREENSPO"
"3867","HEN"
"3868","Hot"
"3869","Kecincinnati"
"3870","MANHATTMANHATTAN"
"3871","NORTHPARIDGELAND"
"3872","OFBATON"
"3873","POS00AE4C41"
"3874","PROMENAD"
"3875","SCOTTSDALEAZ"
"3876","SEQ"
"3877","SPRINGF"
"3878","Springs"
"3879","VINSHREVEPORT"
"3880","WESTGAT"
"3881","WESTOAKOCOEE"
"4110","XXXXXXXXXXXX5570"
"4111","XXXXXXXXXXXX6175"
"4112","ALEXANDALEXANDRIA"
"4113","BASHEVILLE"
"4114","BILTMO"
"4115","CHAPELFLUS"
"4131","CMACON"
"4132","CORDO"
"4133","COTTONWALBUQUERQUE"
"4134","COUNT"
"4135","CPHOENIX"
"4136","CROSSROWATERLOO"
"4137","CRULAS"
"4138","CUTAWAY"
"4139","Davenport"
"4140","EXPRESS"
"4141","FM"
"4142","GARDENFLUS"
"4143","HAMMONDLA"
"4144","HOA"
"4145","INDEPENDENC"
"4146","INT"
"4147","JORD"
"4148","Las"
"4149","MARINE"
"4150","MCCAI"
"4151","MECHANICAL"
"4152","MERIDIANDEBIT"
"4153","MERRI"
"4154","MESI"
"4155","NORTHEA"
"4156","PAYUMA"
"4157","PRESCOTPRESCOTT"
"4158","PREXXXXX"
"4159","RIMROC"
"4160","SA"
"4161","SCXXXXXX"
"4162","SIKE"
"4163","TAMIAMI"
"4164","TEMP"
"4165","TUCKER"
"4166","VHICKORY"
"4167","VIRGIN"
"4168","WOO"
"4169","WRIGHTSBORO"
"4467","XXXXXXXXXXXX1017"
"4468","XXXXXXXXXXXXDILLARDS"
"4469","AB"
"4470","ACADIAN"
"4471","ANTIQUE"
"4472","ARCard"
"4473","ASHEVIL"
"4474","BATTLEFIE"
"4475","BISCUIT"
"4476","BK"
"4477","BOSSIE"
"4478","CHESAP"
"4502","CRESTVICRESTVIEW"
"4503","DEER"
"4504","EASTCHA"
"4505","ED"
"4506","FARMINGTDEBIT"
"4507","FASHIONORLANDO"
"4508","FAYETTELEXINGTON"
"4509","FL09"
"4510","HENNEWPORT"
"4511","HTREE"
"4512","INQUIRY"
"4513","LAUDER"
"4514","LAWT"
"4515","LLAKE"
"4516","Louisville"
"4517","MERR"
"4518","NJ"
"4519","NORTHPOIN"
"4520","ORCC"
"4521","PENSACOLAFL"
"4522","PINES"
"4523","PLAINFIELD"
"4524","PurchaseDILLARDS"
"4525","RIMR"
"4526","SOUTHLAHOUMA"
"4527","TH"
"4528","TRALEIGH"
"4529","TSANDY"
"4530","TX03"
"4531","WOLFCHAMEMPHIS"
"4532","WW"
"4886","14Card"
"4887","AMZ"
"4888","ASHL"
"4889","AUG"
"4890","BOYNT"
"4891","Branch"
"4892","BROWARDPLANTATIO"
"4893","CARWA"
"4894","CCARY"
"4895","CHANDLE"

