store_number,store_type,address,city,state,zip_code,phone_number,store_hours,pharmacy_phone_number,pharmacy_hours,has_photo_center,has_vision_center,has_tire__lube,has_gas_station,has_cell_phones,services,latitude,longitude,accuracy
493,Walmart Supercenter,305 Letton Dr,Paris,KY,40361, (859) 987-2817,Open 24 Hours, (859) 987-4213,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",38.197019,-84.2774424,STREET_ADDRESS: ROOFTOP
494,Walmart Supercenter,1025 Highway 34 E,Newnan,GA,30265, (770) 502-0677,Open 24 Hours, (770) 254-9765,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",33.3966498,-84.7433639,STREET_ADDRESS: RANGE_INTERPOLATED
495,Walmart Supercenter,1913 Highway 45 N,Columbus,MS,39705, (662) 329-4810,Open 24 Hours, (662) 329-1766,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",33.518714,-88.4388116,STREET_ADDRESS: ROOFTOP
497,Walmart Supercenter,500 Taylorsville Rd,Shelbyville,KY,40065, (502) 633-0705,Open 24 Hours, (502) 633-2592,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",38.2101844,-85.2653584,STREET_ADDRESS: ROOFTOP
498,Walmart Supercenter,3670 W Oak St,Jena,LA,71342, (318) 992-1351,Monday - Friday : 6: 00 am - 11: 00 pm Saturday: 6: 00 am - 11: 00 pm Sunday: 6: 00 am - 11: 00 pm, (318) 992-1357,Monday - Friday : 9: 00 am - 7: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,,Pharmacy Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel,31.688843,-92.1390864,ROUTE: GEOMETRIC_CENTER
499,Walmart Supercenter,5505 W Owen K Garriott Rd,Enid,OK,73703, (580) 237-7963,Open 24 Hours, (580) 233-9948,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",36.3883067,-97.945957,STREET_ADDRESS: ROOFTOP
500,Walmart Supercenter,4530 Woodrow Bean,El Paso,TX,79924, (915) 757-0151,Open 24 Hours, (915) 757-2538,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",31.8982454,-106.4396862,STREET_ADDRESS: ROOFTOP
501,Walmart Supercenter,1621 Highway 15 N,Laurel,MS,39440, (601) 649-6191,Open 24 Hours, (601) 649-4670,Monday - Friday : 8: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",31.708658,-89.1485587,STREET_ADDRESS: RANGE_INTERPOLATED
502,Walmart Supercenter,16759 Hwy 3235,Cut Off,LA,70345, (985) 632-4040,Open 24 Hours, (985) 632-4727,Monday - Friday : 8: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",29.5427168,-90.3381361,LOCALITY: APPROXIMATE
503,,2103 Milam St,Columbus,TX,78934, (979) 732-8341,Open 24 Hours, (979) 732-8319,Monday - Friday : 9: 00 am - 7: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,,Pharmacy Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel,29.694648,-96.538875,STREET_ADDRESS: ROOFTOP
504,Walmart Supercenter,6702 Seawall Blvd,Galveston,TX,77551, (409) 744-8677,Monday - Friday : 6: 00 am - 12: 00 am Saturday: 6: 00 am - 12: 00 am Sunday: 6: 00 am - 12: 00 am, (409) 744-2288,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",29.26481,-94.8327223,STREET_ADDRESS: ROOFTOP
505,Walmart Supercenter,1125 N Pine St,Deridder,LA,70634, (337) 462-0259,Open 24 Hours, (337) 462-5794,Monday - Friday : 9: 00 am - 7: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",30.8656147,-93.2853589,STREET_ADDRESS: RANGE_INTERPOLATED
506,Walmart Supercenter,1540 N Worthey St,Flora,IL,62839, (618) 662-4491,Monday - Friday : 6: 00 am - 12: 00 am Saturday: 6: 00 am - 12: 00 am Sunday: 6: 00 am - 12: 00 am, (618) 662-4597,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,,,Tire & Lube Pharmacy Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel,38.6785121,-88.4983417,STREET_ADDRESS: RANGE_INTERPOLATED
507,Walmart Supercenter,1000 Bypass N,Lawrenceburg,KY,40342, (502) 839-5178,Open 24 Hours, (502) 839-1482,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",38.0444525,-84.7539029,STREET_ADDRESS: RANGE_INTERPOLATED
508,Walmart Supercenter,1216 Junction Hwy,Kerrville,TX,78028, (830) 895-7900,Open 24 Hours, (830) 896-5511,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",30.06245,-99.167632,STREET_ADDRESS: ROOFTOP
510,Walmart Supercenter,400 Shallowford Rd Nw,Gainesville,GA,30504, (770) 503-9300,Open 24 Hours, (770) 531-0325,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",34.2921374,-83.8501482,STREET_ADDRESS: ROOFTOP
511,Walmart Supercenter,1283 Broad St,Sumter,SC,29150, (803) 905-5500,Open 24 Hours, (803) 905-5510,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",33.9593919,-80.389213,STREET_ADDRESS: ROOFTOP
512,Walmart Supercenter,10727 Gateway Blvd W,El Paso,TX,79935, (915) 594-0243,Open 24 Hours, (915) 593-3164,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",31.752756,-106.34023,STREET_ADDRESS: ROOFTOP
513,Walmart Supercenter,201 W Marcy Dr,Big Spring,TX,79720, (432) 267-3363,Open 24 Hours, (432) 267-1585,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",32.2281542,-101.4679266,STREET_ADDRESS: ROOFTOP
514,Walmart Supercenter,2035 Whiskey Rd,Aiken,SC,29803, (803) 648-9197,Open 24 Hours, (803) 648-7766,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",33.518218,-81.7193099,STREET_ADDRESS: ROOFTOP
515,Walmart Supercenter,2330 Us 19,Murphy,NC,28906, (828) 837-9184,Open 24 Hours, (828) 837-8804,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 8: 00 am - 6: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,,Gas Station Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel,35.0396509,-84.0891808,STREET_ADDRESS: RANGE_INTERPOLATED
516,Walmart Supercenter,1200 W Main St,Gun Barrel City,TX,75156, (903) 887-4180,Open 24 Hours, (903) 887-2133,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",32.3327004,-96.1353689,STREET_ADDRESS: ROOFTOP
517,Walmart Supercenter,951 E State Highway 152,Mustang,OK,73064, (405) 376-4549,Open 24 Hours, (405) 376-4525,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",35.3932954,-97.7051492,STREET_ADDRESS: ROOFTOP
518,Walmart Supercenter,1550 Riverstone Pkwy,Canton,GA,30114, (770) 479-9891,Open 24 Hours, (770) 479-9003,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",34.255176,-84.4612159,STREET_ADDRESS: ROOFTOP
519,Walmart Supercenter,591 Joseph Dr,Harrodsburg,KY,40330, (859) 734-5721,Open 24 Hours, (859) 734-3319,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",37.7434061,-84.8439495,STREET_ADDRESS: RANGE_INTERPOLATED
520,Walmart Supercenter,440 Atlanta Hwy N.W.,Winder,GA,30680, (770) 867-8642,Open 24 Hours, (770) 307-1272,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",33.990652,-83.756995,STREET_ADDRESS: ROOFTOP
521,Walmart Supercenter,2500 N Martin Luther King Hwy,Lake Charles,LA,70601, (337) 436-3909,Open 24 Hours, (337) 430-0249,Monday - Friday : 8: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",30.2729713,-93.1825623,STREET_ADDRESS: ROOFTOP
522,Walmart Supercenter,14215 Fm 2100 Rd,Crosby,TX,77532, (281) 328-4836,Open 24 Hours, (281) 328-3529,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",29.894105,-95.0651418,STREET_ADDRESS: ROOFTOP
523,Walmart Supercenter,4609 Nw Loop 436,Carthage,TX,75633, (903) 693-8881,Open 24 Hours, (903) 693-6502,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,,Pharmacy Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel,32.1494232,-94.3682895,ROUTE: GEOMETRIC_CENTER
524,Walmart Supercenter,200 Business Park Blvd,Kenedy,TX,78119, (830) 583-9825,Monday - Friday : 6: 00 am - 11: 00 pm Saturday: 6: 00 am - 11: 00 pm Sunday: 6: 00 am - 11: 00 pm, (830) 583-9832,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,,Pharmacy Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel,28.8345642,-97.8644811,STREET_ADDRESS: ROOFTOP
526,Walmart Supercenter,3706 Diann Marie Rd,Louisville,KY,40241, (502) 326-9166,Open 24 Hours, (502) 326-0805,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",38.3000241,-85.545752,STREET_ADDRESS: ROOFTOP
527,Walmart Supercenter,1801 N Velasco St,Angleton,TX,77515, (979) 849-4604,Open 24 Hours, (979) 849-3028,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Pharmacy Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",29.1839581,-95.4337511,STREET_ADDRESS: ROOFTOP
528,Walmart Supercenter,2911 53Rd Ave E,Braden River,FL,34203, (941) 753-6751,Open 24 Hours, (941) 753-6764,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",27.4463677,-82.4969477,STREET_ADDRESS: RANGE_INTERPOLATED
529,Walmart Supercenter,6410 Interstate 45,La Marque,TX,77568, (409) 986-6000,Open 24 Hours, (409) 986-7726,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",29.3534745,-94.9697517,ROUTE: GEOMETRIC_CENTER
530,Walmart Supercenter,2730 N West Ave,El Dorado,AR,71730, (870) 862-2128,Open 24 Hours, (870) 862-4866,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",33.2412801,-92.6658585,STREET_ADDRESS: ROOFTOP
531,Walmart Supercenter,3142 Ambassador Caffery Pkwy,Lafayette,LA,70506, (337) 989-4082,Open 24 Hours, (337) 989-4095,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",30.187282,-92.078517,STREET_ADDRESS: ROOFTOP
532,Walmart Supercenter,308 N Airline Hwy,Gonzales,LA,70737, (225) 647-8950,Open 24 Hours, (225) 647-0515,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",30.234925,-90.908797,STREET_ADDRESS: ROOFTOP
533,Walmart Supercenter,1205 E Admiral Doyle Dr,New Iberia,LA,70560, (337) 367-9333,Open 24 Hours, (337) 364-3841,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",29.9836417,-91.8165548,STREET_ADDRESS: ROOFTOP
534,Walmart Supercenter,1229 Ne Evangeline Trwy,Lafayette,LA,70501, (337) 232-1677,Open 24 Hours, (337) 232-1031,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",30.239759,-92.015713,STREET_ADDRESS: ROOFTOP
535,Walmart Supercenter,4350 Southwest Dr,Abilene,TX,79606, (325) 695-3092,Open 24 Hours, (325) 695-9250,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",32.4110914,-99.7814216,STREET_ADDRESS: ROOFTOP
536,Walmart Supercenter,1650 State Highway 351,Abilene,TX,79601, (325) 677-5584,Open 24 Hours, (325) 677-2191,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",32.477606,-99.6992169,STREET_ADDRESS: RANGE_INTERPOLATED
537,Walmart Supercenter,4210 John Ben Shephe,Odessa,TX,79762, (432) 363-9663,Open 24 Hours, (432) 368-7744,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Medical Clinics Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",31.9626279,-102.3807553,POSTAL_CODE: APPROXIMATE
538,,5700 Nw 23Rd St,Gainesville,FL,32653, (352) 378-0619,Open 24 Hours, (352) 378-0759,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",29.7116399,-82.35638,STREET_ADDRESS: RANGE_INTERPOLATED
