DATE,USERID,DESCRIPTION,PERSISTENTRECORDID,IS PHYSICAL TRANSACTION
,2,CHECKCARD 0830 RABBIT'S FOOT MEADERY SUNNYVALE CA 24506013243980123666572,,1
,2,CHECKCARD 0902 GREAT CLIPS 8976 SAN JOSE CA 24692163245000210076059,,1
,2,CHECKCARD 0903 WHISPERS CAFE & CREPER BELMONT CA 24071053247158151881416,,1
,2,CHECKCARD 0914 I SUSHI CUUPERTINO CA 24431063257200617600559,,1
,2,CHECKCARD 0915 CHEVRON 000957 CUPERTINO CA 01145140460332590601132,,1
,2,CHECKCARD 0915 SMOKE EATERS HOT WINGS SANTA CLARA CA 24431063258286285200359,,1
,2,CHECKCARD 0918 HOBEE'S #4 BELMONT CA 24431053261207188500345,,1
,2,CHECKCARD 0921 OPA AUTHENTIC GREEK CUS 408-3997417 CA 24744553265134511772374,,1
,2,CHECKCARD 0924 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063268286857100670,,1
,2,CHECKCARD 1002 SUSHI CLUB SUNNYVALE CA 24765183276980001415552,,1
,2,CHECKCARD 1005 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063279286857201012,,1
,2,CHECKCARD 1009 TATAMI BUFFET CUPERTINO CA 24431063283207602800381,,1
,2,CHECKCARD 1017 ST JOHNS BAR & GRILL SUNNYVALE CA 24013393290001066162760,,1
,2,CHECKCARD 1017 SUSHI BOAT WESTGATE SAN JOSE CA 24122583291980012711155,,1
,2,CHECKCARD 1018 FRY'S ELECTRONICS #12 SUNNYVALE CA 24492153292769011308086,,1
,2,CHECKCARD 1107 76 10041762 SUNNYVALE CA 24015173311000436193132,,1
,2,CHECKCARD 1114 JACK'S PRIME SAN MATEO CA 24224433320105009474928,,1
,2,CHECKCARD 1118 KATANA SUSHI & SAKE SUNNYVALE CA 24707803323980162402222,,1
,2,CHECKCARD 1122 CALTRAIN TVM SAN CARLOS CA 24492793328436040065498,,1
,2,CHECKCARD 1122 CRAZY BUFFET SUNNYVALE CA 24493983327206643001258,,1
,2,CHECKCARD 1201 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063336286857800699,,1
,2,CHECKCARD 1202 MEL'S DRIVE-IN #2 SAN FRANCISCOCA 24492153337286434101508,,1
,2,CHECKCARD 1203 PIZZA MY HEART PALO ALTO CA 24013393338000199654879,,1
,2,CHECKCARD 1210 AMC CUPERTINO SQ #0424 CUPERTINO CA 24610433345072000134112,,1
,2,CHECKCARD 1214 GREAT CLIPS 8976 SAN JOSE CA 24692163349000259291747,,1
,2,CHECKCARD 1216 IHOP #1719 BELMONT CA 24431063351207288600342,,1
,2,CHECKCARD 1218 AMC CUPERTINO SQ #0424 CUPERTINO CA 24610433353072000374741,,1
,2,CHECKCARD 1219 ROUND TABLE PI00003228 SAN CARLOS CA 24164073354074240175527,,1
,2,CHECKCARD 1219 ROUND TABLE PI00003228 SAN CARLOS CA 24164073354074240175568,,1
,2,CHECKCARD 1231 ESPETUS CHURRASCARIA SAN MATEO CA 24431063001207588600061,,1
,2,CVS 02423 08/16 #000228982 PURCHASE 02423--1456 E.Yos Madera CA,,1
,2,CVS 09700 01/09 #000732357 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 01/10 #000015706 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 01/29 #000114115 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 02/08 #000212653 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 02/10 #000111094 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 02/12 #000710366 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 02/20 #000126667 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 02/24 #000728469 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 03/06 #000224646 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 03/13 #000313947 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 03/18 #000219559 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 03/27 #000215150 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 03/29 #000109507 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 04/01 #000609305 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 04/19 #000109254 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 04/29 #000019316 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 04/30 #000525206 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 05/06 #000318988 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 05/12 #000229003 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 05/13 #000909261 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 05/20 #000028795 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 05/21 #000530577 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 05/26 #000614680 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 06/09 #000517724 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 06/19 #000510536 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 06/23 #000020775 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 07/31 #000312655 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 08/06 #000319498 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 08/19 #000408770 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 08/20 #000622881 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 09/19 #000609035 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 09/20 #000427438 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 0970 12/08 #000311893 PURCHASE CVS 09700 09700-- Sunnyvale CA,,1
,2,CVS 09700 0970 12/21 #000611345 PURCHASE CVS 09700 09700-- Sunnyvale CA,,1
,2,CVS 09700 0970 12/24 #000530279 PURCHASE CVS 09700 09700-- Sunnyvale CA,,1
,2,CVS 09700 10/02 #000729551 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,CVS 09700 11/10 #000620603 PURCHASE 09700--576 E El C Sunnyvale CA,,1
,2,FAIR OAKS 76 12/07 #000514106 PURCHASE FAIR OAKS 76 SUNNYVALE CA,,1
,2,FAMOUS FOOTWEA 06/02 #000876407 PURCHASE FAMOUS FOOTWEAR SAN JOSE CA,,1
,2,FAMOUS FOOTWEA 10/17 #000497985 PURCHASE FAMOUS FOOTWEAR SAN JOSE CA,,1
,2,FRY'S ELECTRON 02/03 #000004564 PURCHASE FRY'S ELECTRONICS SUNNYVALE CA,,1
,2,FRY'S ELECTRON 05/18 #000010797 PURCHASE FRY'S ELECTRONICS SUNNYVALE CA,,1
,2,FRY'S ELECTRON 08/19 #000002186 PURCHASE FRY'S ELECTRONICS SUNNYVALE CA,,1
,2,MACY'S 34 08/02 #000110826 PURCHASE 200 W WASHINGTON SUNNYVALE CA,,1
,2,NIJIYA MARKET 11/08 #000321573 PURCHASE 143 E EL CAMINO R MOUNTAIN VIEW CA,,1
,2,OFFICE DEPOT 0 04/05 #000818558 PURCHASE 121 EAST EL CAMIN SUNNYVALE CA,,1
,2,OLD NAVY USA 06/02 #000006025 PURCHASE OLD NAVY USA SAN JOSE CA,,1
,2,OLD NAVY USA 08/03 #000007006 PURCHASE OLD NAVY USA SAN JOSE CA,,1
,2,OLD NAVY USA 10/17 #000006617 PURCHASE OLD NAVY USA SAN JOSE CA,,1
,2,S AND S TIRE A 02/21 #000484150 PURCHASE 597 S MURPHY AVE SUNNYVALE CA,,1
,2,S AND S TIRE A 12/23 #000607706 PURCHASE S AND S TIRE AN SUNNYVALE CA,,1
,2,SAFEWAY 1476 09/08 #000559884 PURCHASE 1300 WEST SAN CAR SAN JOSE CA,,1
,2,SAFEWAY 1476 09/22 #000910966 PURCHASE 1300 WEST SAN CAR SAN JOSE CA,,1
,2,SAFEWAY 1990 07/04 #000324544 PURCHASE 3970 RIVERMARK PL SANTA CLARA CA,,1
,2,SAFEWAY 1990 09/22 #000568832 PURCHASE 3970 RIVERMARK PL SANTA CLARA CA,,1
,2,SAFEWAY 2887 01/18 #000246958 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 03/19 #000337537 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 04/29 #000021397 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 05/13 #000647391 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 05/28 #000084282 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 06/17 #000596298 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 08/11 #000886484 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 09/01 #000743258 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 09/06 #000511891 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 09/29 #000082625 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 10/01 #000935316 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY 2887 10/08 #000255813 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,1
,2,SAFEWAY STORE 11/21 #000765237 PURCHASE SAFEWAY STORE SUNNYVALE CA,,1
,2,SAFEWAY STORE 11/26 #000980270 PURCHASE SAFEWAY STORE SUNNYVALE CA,,1
,2,SAFEWAY STORE 11/27 #000609787 PURCHASE SAFEWAY STORE SUNNYVALE CA,,1
,2,SAFEWAY STORE 12/11 #000626013 PURCHASE SAFEWAY STORE SUNNYVALE CA,,1
,2,SAFEWAY STORE 12/19 #000924443 PURCHASE SAFEWAY STORE 1 BELMONT CA,,1
,2,SAFEWAY STORE 12/24 #000129940 PURCHASE SAFEWAY STORE SUNNYVALE CA,,1
,2,SUNNYVALE 76 02/23 #000701549 PURCHASE 1296 SUNNYVALE SA SUNNYVALE CA,,1
,2,TARGET T1427 06/02 #000109800 PURCHASE TARGET T1427 SAN SAN JOSE CA,,1
,2,TARGET T1427 10/17 #000924439 PURCHASE TARGET T1427 SAN SAN JOSE CA,,1
,2,TARGET T2584 03/01 #000018784 PURCHASE TARGET T2584 SUNN SUNNYVALE CA,,1
,2,TARGET T2584 07/28 #000626225 PURCHASE TARGET T2584 SUNN SUNNYVALE CA,,1
,2,TRADER JOE'S # 11/22 #000877061 PURCHASE TRADER JOE'S # SUNNYVALE CA,,1
,2,WALGREENS 05/04 #000516935 PURCHASE 121 E EL CAMINO R MOUNTAIN VIEW CA,,1
,2,CHECKCARD 0129 RED ROCK COFFEE MOUNTAIN VIEWCA 24071053030158158148067,,1
,2,CHECKCARD 0201 SUSHI 85 MOUNTAIN VIEWCA 24231683033200000000316,,1
,2,CHECKCARD 0308 21ST AMENDMENT BRE SAN FRANCISCOCA 24224433068105013518906,,1
,2,CHECKCARD 0430 JACK'S PRIME SAN MATEO CA 24224433122105005465193,,1
,2,CHECKCARD 0511 BON CHON CHICKEN SUNNYVALE CA 24275393132900018400894,,1
,2,CHECKCARD 0529 VITAMIN SHOPPE #525 SUNNYVALE CA 24692163150000788647458,,1
,2,CHECKCARD 0801 JOHN'S GRILL SAN FRANCISCOCA 24055233215206112100206,,1
,2,CHECKCARD 1130 SMUGGLER'S COVE SAN FRANCISCOCA 24431063335207088500107,,1
,2,CHECKCARD 1202 DR CHARLES MOLOSKY DDS SAN FRANCISCOCA...,,1
,2,SHELL Service 02/12 #000476158 PURCHASE SHELL MOUNTAIN VIEW CA,,1
,2,SHELL Service 05/03 #000156643 PURCHASE SHELL MOUNTAIN VIEW CA,,1
,2,SHELL Service 07/30 #000427992 PURCHASE SHELL MOUNTAIN VIEW CA,,1
,2,SHELL Service 11/18 #000530556 PURCHASE SHELL Service S MOUNTAIN VIEW CA,,1
,2,SHELL Service 12/18 #000748555 PURCHASE SHELL Service S MOUNTAIN VIEW CA,,1
,2,CHECKCARD 0228 INTERNAL SPA REJUVENATI MTN VIEW CA 24275393063900019600131,,1
,2,CHECKCARD 0415 ANZA PARKING CORPORATIO BURLINGAME CA 24755423105161056865517,,1
,2,CHECKCARD 0505 ONE POT CUPERTINO CA 24692163125000926430058,,1
,2,CHECKCARD 0524 ROOSTER T FEATHERS 2 SUNNYVALE CA 24493983145286899800074,,1
,2,CHECKCARD 0524 ROOSTER T FEATHERS SUNNYVALE CA 24493983145286619000088,,1
,2,CHECKCARD 0607 ROK SUNNYVALE CA 24643733160700664290467,,1
,2,CHECKCARD 0813 DR CHARLES MOLOSKY DDS SAN FRANCISCOCA...,,1
,2,CHECKCARD 1124 JAKES OF WILLOW GLEN SAN JOSE CA 24690513329207374000596,,1
,2,SMARTNFINAL432 11/08 #000127047 PURCHASE SMARTNFINAL432 MOUNTAIN VIE CA,,1
,2,BKOFAMERICA ATM 01/18 #000001041 WITHDRWL SUNNYVALE MAIN SUNNYVALE CA,,
,2,BKOFAMERICA ATM 04/07 #000008734 WITHDRWL LAX-TERMINAL 5 D LOS ANGELES...,,
,2,BKOFAMERICA ATM 05/05 #000007074 WITHDRWL SUNNYVALE MAIN SUNNYVALE CA,,
,2,BKOFAMERICA ATM 09/21 #000001290 WITHDRWL SUNNYVALE MAIN SUNNYVALE CA,,
,2,CA TLR cash withdrawal from CHK 2290 Banking Ctr SUNNYVALE INDUSTRIAL...,,
,2,CA TLR cash withdrawal from CHK 2290 Banking Ctr SUNNYVALE MAIN OFFICE...,,
,2,CHECKCARD 0204 ALASKA AIR 02772038061 SEATTLE WA 24431063036331900023353,,
,2,CHECKCARD 0204 ALASKA AIR 02772038061 SEATTLE WA 24431063036331900023361,,
,2,CHECKCARD 0429 HUNTER LABORATORIES CAMPBELL CA 24492153120693011036075,,
,2,CHECKCARD 0514 AMERICAN AI 00172286520 ATLANTA GA 24717053135871354019783,,
,2,CHECKCARD 0514 AMERICAN AI 00172286520 ATLANTA GA 24717053135871354019791,,
,2,CHECKCARD 0617 TRAVISA*PASSPORT VISA 415-837-0771 CA...,,
,2,CHECKCARD 0623 NAPA VALLEY BALLOONS IN NAPA CA 24055233174207523100305,,
,2,CHECKCARD 0625 AA INFLIGHT VISA 2 TULSA OK 24717053177151775923957,,
,2,CHECKCARD 0625 AMERICAN AI 00102853668 SAN JOSE CA 24717053177871772739003,,
,2,CHECKCARD 0703 PAMF OCC MED SUNNYVALE CA 24492793184118000100019,,
,2,CHECKCARD 0904 DELTA AIR 00623396599 DELTA.COM CA 24717053248872480341202,,
,2,CHECKCARD 0904 DELTA AIR 00623396599 DELTA.COM CA 24717053248872480341210,,
,2,CHECKCARD 1008 CARHIRE CARHIRE 00353 74255183281340559257481,,
,2,CHECKCARD 1008 CARHIRE CARHIRE 00353 74255183281340559257481 INTERNATIONAL...,,
,2,CHECKCARD 1020 TECH SHOWCASE SFOAC SAN FRANCISCOCA 24692163294000659338002,,
,2,CHECKCARD 1029 ENTERPRISE 0208 8972100 74929003303007170056903,,
,2,CHECKCARD 1029 ENTERPRISE 0208 8972100 74929003303007170056903 INTERNATIONAL...,,
,2,CHECKCARD 1102 PICOPOINT SOLUTIONS OUD GASTEL 74008503306343396314887,,
,2,CHECKCARD 1102 PICOPOINT SOLUTIONS OUD GASTEL 74008503306343396314887...,,
,2,CHECKCARD 1106 ENTERPRISE 0208 8972100 74929003311007170047746,,
,2,CHECKCARD 1115 ENTERPRISE 0208 8972100 74929003323003671340496,,
,2,CHECKCARD 1115 ENTERPRISE 0208 8972100 74929003323003671340496 INTERNATIONAL...,,
,2,CHECKCARD 1218 MAC MALL 800-622-6255 800-6226255 CA 24121573353551867724374,,
