|LOCATION|DESCRIPTION_UNMASKED
380|('Dallas', 'TX')|AMERICAN 00123014130610  DALLAS       TX 
381|('Seattle', 'WA')|AMSTERDAM                SEATTLE      WA 
382|('Annapolis', 'MD')|ANN TAYLOR LOFT #1483    ANNAPOLIS    MD 
383|('Philadelphia', 'PA')|APPLE STORE 162          PHILADELPHIA PA 
384|('Albuquerque', 'NM')|APPLEBEES 793963379390   ALBUQUERQUE  NM 
385|('Atlanta', 'GA')|APW ATLANTA A          ATLANTA      GA 
386|('Buford', 'GA')|ARBY'S #5590  00055905   BUFORD       GA 
387|('Springfield', 'IL')|ARBY'S #6683  00066837   SPRINGFIELD  IL 
388||AUSTELL NATURAL GAS      770-948-1841 GA 
389|('Austin', 'TX')|AUSTIN HAI KY LLC        AUSTIN       TX 
390|('Honolulu', 'HI')|BACCHUS WAIKIKI          HONOLULU     HI 
391|('Omaha', 'NE')|BAG N SAVE 09            OMAHA        NE 
392|('Stafford', 'VA')|BANFIELD 1174            STAFFORD     VA 
393|('Kansas City', 'KS')|BARIK FUEL STATION       KANSAS CITY  KS 
394||BARNES & NOBLE #2040     WASHINGTON   DC 
395|('Minneapolis', 'MN')|BARNES & NOBLE #2564     MINNEAPOLIS  MN 
396|('Farmington', 'CT')|BED BATH & BEYOND #239   FARMINGTON   CT 
397|('Issaquah', 'WA')|BEN & JERRY'S ISSA       ISSAQUAH     WA 
398|('Barboursville', 'WV')|BEST BUY      00005736   BARBOURSVILLEWV 
399|('North Wales', 'PA')|BEST BUY MHT  00005256   NORTH WALES  PA 
400|('Parker', 'CO')|BEST BUY MHT  00014100   PARKER       CO 
401|('Choctaw', 'OK')|BLOCKBUSTER INC#40079    CHOCTAW      OK 
402||BMC WESTSIDE OPTICAL     5413822811   OR 
403|('Zanesville', 'OH')|BOB EVANS REST #0097     ZANESVILLE   OH 
404|('Jasper', 'GA')|BOJANGLES 795 07007958   JASPER       GA 
405||BOTTOM OF THE CUP
406|('Omaha', 'NE')|BUCKY'S EXPRESS 61.QPS   OMAHA        NE 
407||BULK PLANT FUEL ISLACLARKSVILLE 000136302   9313589303 
408|('Honolulu', 'HI')|BVO-DH MAIN #3           HONOLULU     HI 
409||BYRON                    LONDON 515   GB 
410|('Rogers', 'MN')|CABELAS RETAIL ROGERS    ROGERS       MN 
411|('Saint Paul', 'MN')|CARIBOU COFFEE CO #1174 0ST. PAUL     MN 
412|('Austin', 'TX')|CENTRAL MARKET #420      AUSTIN       TX 
413|('San Jose', 'CA')|CENTURY THEATRES 47QPS   SAN JOSE     CA 
414|('Raleigh', 'NC')|CHAMPPS #65238           RALEIGH      NC 
415|('Bedford', 'PA')|CHARIOT RENT A CAR       BEDFORD      PA 
416||CHEDDAR S #250           WICHITA      TX 
417||CHEDDAR S #460           SAN          TX 
418||CHEDDARS'S               HARKER       TX 
419|('Miami Beach', 'FL')|CHEVRON 0047582          MIAMI BEACH  FL 
420|('Houston', 'TX')|CHEVRON 0108044    Q61   HOUSTON      TX 
421||CHEVRON 0202648          PLANTATION   FL 
422|('Katy', 'TX')|CHEVRON 0202710          KATY         TX 
423|('Alpharetta', 'GA')|CHICK-FIL-A # 00873      ALPHARETTA   GA 
424|('Toledo', 'OH')|CHICK-FIL-A #00107       TOLEDO       OH 
425|('Gainesville', 'FL')|CHICK-FIL-A #00205       GAINESVILLE  FL 
426||CHILDREN'S PLACE #4094   MIDWEST CITY OK 
427|('Shawnee', 'OK')|CHILI'S GRI70200007021   SHAWNEE      OK 
428|('Dallas', 'TX')|CHILI'S GRILL 00000711   Dallas       TX 
429||CHRISTOPHER'S SPORTS & 
430|('Ellsworth', 'ME')|CIRCLE K 07009           ELLSWORTH    ME 
431||CITY EXTRA               SYDNEY       AU 
432|('Portland', 'OR')|COLON CARE               PORTLAND     OR 
433|('Chicago', 'IL')|CONNIES PIZZA            CHICAGO      IL 
434|('Iva', 'SC')|CONSILIENCE              LOS OLIVAS   CA 
435|('Houston', 'TX')|CONTINEN 00526054506865  HOUSTON      TX 
436|('Costa Mesa', 'CA')|CORNERSTONE SMOG TEST    COSTA MESA   CA 
437||COSTCO WHSE #0330 00FREDERICK   017816000   3016441483 
438||COSTCO WHSE #0694 00VACAVILLE   011818000   7074537361 
439||COTE RESTAURANT          LONDON  WC2N GB 
440|('Hiawatha', 'KS')|COUNTRY CABIN            HIAWATHA     KS 
441|('Austin', 'TX')|COUNTY LINE ON THE LAK   AUSTIN       TX 
442|('San Antonio', 'TX')|CRACKER BARREL #154 SAN ASAN ANTONIO  TX 
443|('Hockessin', 'DE')|CROWNERY CHINESE RESTAURAHOCKESSIN    DE 
444|('Camp Lejeune', 'NC')|C-STORE       13020078   CAMP LEJEUNE NC 
445|('Healdsburg', 'CA')|CVS PHARMACY #1173       HEALDSBURG   CA 
446|('Springfield', 'VA')|CVS PHARMACY #1387 Q03   SPRINGFIELD  VA 
447|('Fairborn', 'OH')|CVS PHARMACY #3411 Q03   FAIRBORN     OH 
448|('San Diego', 'CA')|CVS PHARMACY #6332       SAN DIEGO    CA 
449|('Temecula', 'CA')|CVS PHARMACY #9918       TEMECULA     CA 
450|('Sacramento', 'CA')|CVS PHARMACY #9992       SACRAMENTO   CA 
451|('Decatur', 'GA')|DEKALB CO TAG RENEWAL    DECATUR      GA 
452|('Atlanta', 'GA')|DELTA ONBOARD            ATLANTA      GA 
453|('Leavenworth', 'KS')|DESIGNING WOMEN          LEAVENWORTH  KS 
454|('Flagstaff', 'AZ')|DESIGNS WEST HOME FURN   FLAGSTAFF    AZ 
455|('Wayne', 'PA')|DIANES SIDEWALK DELI     WAYNE        PA 
456|('Fairfax', 'VA')|DICK'S CLOTHING&SPORTI   FAIRFAX      VA 
457|('Chesapeake', 'VA')|DILLARD'S 172 GREENBRI CHESAPEAKE   VA 
458|('Midland', 'TX')|DRY CLEAN SUPER CENTER   MIDLAND      TX 
459||DURON #3642              WAKE         NC 
460|('Marietta', 'GA')|EAST COBB EYE CENTER     MARIETTA     GA 
461|('Houston', 'TX')|EDUCATIONAL CATERING I   HOUSTON      TX 
462||ELISA ILANA - PANDORA    04029263479  NE 
463|('Kansas City', 'MO')|ENTERPRISE RENT-A-CAR    KANSAS CITY  MO 
464|('Denver', 'CO')|EXEMPLA GSMC CAFETERIA   DENVER       CO 
465|('Bel Air', 'MD')|EXXONMOBIL    47869680   BEL AIR      MD 
466|('Stuart', 'FL')|EXXONMOBIL    97561492   STUART       FL 
467|('San Diego', 'CA')|EXXONMOBIL    97600266   SAN DIEGO    CA 
468||EXXONMOBIL    97611073   WESTLAKE VILLCA 
469||FAITH AND FREEDOM COAL   770-6221501  GA 
470|('Santa Monica', 'CA')|FAMIMA~$~~$~                 SANTA MONICA CA 
471|('Orlando', 'FL')|FAMOUS FOOTWEAR OUTLET   ORLANDO      FL 
472|('Pittsburgh', 'PA')|FOOT LOCKER 07830        PITTSBURGH   PA 
473|('Dallas', 'TX')|FOREVER XXI #716         DALLAS       TX 
474|('Glendale', 'AZ')|FOSSIL #235              GLENDALE     AZ 
475||FRESHGROUND ROASTING
476|('Philadelphia', 'PA')|FRESHNESS                PHILADELPHIA PA 
477|('Frisco', 'TX')|FRISCO - 16136 8000009043FRISCO       TX 
478|('Phoenix', 'AZ')|FRYS FUEL #7027          PHOENIX      AZ 
479||FT POLK COMMISSARY       FORT POLK    LA 
480||FT STEWART HARMON AVE GASFT STEWART   GA 
481||GENESIS RESTAURANTE      SAN JUAN     PR 
482|('Ellicott City', 'MD')|GIANT FOOD INC #143      ELLICOTT CITYMD 
483|('Silver Spring', 'MD')|GIANT FOOD INC #350      SILVER SPRINGMD 
484|('Brunswick', 'GA')|GOASIS BRUNSWICK   QPS   BRUNSWICK    GA 
485|('Charleston', 'SC')|GOODWILL - WEST ASHLEY   CHARLESTON   SC 
486|('Columbus', 'GA')|GOODWILL INDUSTRIES #3   COLUMBUS     GA 
487|('North Creek', 'NY')|GORE MTN SKI             NORTH CREEK  NY 
488||GUITAR CENTER #731       MATHEWS      NC 
489|('Hanscom Afb', 'MA')|HAN SS/APS GAS PUMPS     HANSCOM AFB  MA 
490|('Casa Grande', 'AZ')|HANKEL & CARPENTER LTD   CASA GRANDE  AZ 
491||HARDEE'S #0561           JEFFERSON CITMO 
492|('Mooresville', 'NC')|HARRIS TEETER #0274      MOORESVILLE  NC 
493||HARRIS TEETER #0369      VIRGINIA BEACVA 
494|('Hampstead', 'NC')|HARRIS TEETER #135       HAMPSTEAD    NC 
495||HAT WORLD
496|('Edmond', 'OK')|HEARTLAND OUTDOORS LLC   EDMOND       OK 
497||HEB GAS/CAR WASH #61     COLLEGE STATITX 
498|('Missouri City', 'TX')|HEB GAS/CARWASH #110     MISSOURI CITYTX 
499|('Bozeman', 'MT')|HEEB'S EAST MAIN GRO     BOZEMAN      MT 
500||HILTON COLOGNE           KOELN        DF 
501|('Rapid City', 'SD')|HOBBY-LOBBY #0200        RAPID CITY   SD 
502|('West Bend', 'WI')|HOBBY-LOBBY #257         WEST BEND    WI 
503|('Newark', 'NJ')|HUDSON NEWS NEWARK JV    NEWARK       NJ 
504||IHOP 1947                CLEAR LAKES STX 
505||INTERPARKING #1075       WASHINGTON   DC 
506|('Austin', 'TX')|ITUNES MUSIC STORE ITUNESAUSTIN       TX 
507|('Kaneohe', 'HI')|JAMBA JUICE #596 00000059KANEOHE      HI 
508||JEWISH COMMUNITY OF LO   LOUISIVLLE   KY 
509|('Port Richey', 'FL')|JOANN FABRIC #1333       PORT RICHEY  FL 
510|('Peoria', 'IL')|JOANN FABRIC #1637       PEORIA       IL 
511|('Fort Worth', 'TX')|JO-ANN STORE #2106       FORT WORTH   TX 
512|('Fort Worth', 'TX')|JO-ANN STORE #2106 FORT WORTH  TX CREDIT 
513|('Forest Lake', 'MN')|KARL'S KORNER 6608       FOREST LAKE  MN 
514|('Kenwood', 'CA')|KENWOOD VINEYARDS        KENWOOD      CA 
515|('Vista', 'CA')|KFC C301016   16010167   VISTA        CA 
516|('Spring Creek', 'NV')|KHOURY'S MINI MART       SPRING CREEK NV 
517|('Littleton', 'CO')|KING SOOPERS #0122 000000LITTLETON    CO 
518|('Alexandria', 'VA')|KINGTOWN GAS STAT 6613   ALEXANDRIA   VA 
519|('Madison', 'WI')|KLINKE CLEANERS #15      MADISON      WI 
520||KOHLS DEPT STORE 420LAKE ZURICH 042006728   8475509400 
521|('Houston', 'TX')|KROGER #356              HOUSTON      TX 
522|('Houston', 'TX')|KROGER FUEL CTR #7356    HOUSTON      TX 
523|('Baytown', 'TX')|KWIK KAR LUBE &  TUNE    BAYTOWN      TX 
524|('Baytown', 'TX')|KWIK KAR LUBE &  TUNE    BAYTOWN      TX 
525||LEHIGH REGIONAL MEDICA   239-3692101  FL 
526||LOVELY NAILS             DUNWOODY     GA 
527|('San Antonio', 'TX')|LOWES #01504*            SAN ANTONIO  TX 
528|('Honolulu', 'HI')|LOWES #02336*            HONOLULU     HI 
529|('Jacksonville', 'FL')|LOWE'S OF S. CENTRAL JACKJACKSONVILLE FL 
530|('Willow Grove', 'PA')|MACY*S EAST #0054        WILLOWGROVE  PA 
531|('Portland', 'OR')|MACY'S EAST #394         PORTLAND     OR 
532|('Miami', 'FL')|MACY'S EAST #777         MIAMI        FL 
533|('Occoquan', 'VA')|MADIGAN S WATERFRONT     OCCOQUAN     VA 
534|('Seattle', 'WA')|MARKET MAGIC             SEATTLE      WA 
535|('Allen', 'TX')|MARKET STREET #563       ALLEN        TX 
536||MASSAGE ENVY 0089        253-4445599  WA 
537|('Kansas City', 'MO')|MATERIAL RECOVERY & TR   KANSAS CITY  MO 
538|('Brandon', 'MS')|MCALISTERS DELI #10QPS   BRANDON      MS 
539|('Quantico', 'VA')|MCCS CONVENIENCE STORE USQUANTICO     VA 
540||MCCS MARINE AIR GROUND COTWENTYNIN PLMCA 
541||MCCS MARINE CORPS HAWAII MCBH K-BAY   HI 
542||MCDONALD'S F11177 
543||MCDONALD'S F12749 0000000MT VERNON    KY 
544|('West Ossipee', 'NH')|MCDONALD'S F14966 0000000WEST OSSIPEE NH 
545|('Auburn', 'AL')|MCDONALD'S F17562        AUBURN       AL 
546||MCDONALD'S F25757        NORTH LITTLE AR 
547|('Arlington', 'VA')|MCDONALD'S M4266 OF      ARLINGTON    VA 
548|('Union City', 'GA')|MCDONALD'S M4803 OF      UNION CITY   GA 
549||MCGUIRE COMMISSARY       MCGUIRE AFB  NJ 
550||MCKEEVER PRICE CHO       PARKVILLE    MO 
551|('Rossford', 'OH')|MEIJER #211        Q01   ROSSFORD     OH 
552||MENOMONEEFALLS CINEQPS   MENOMONEE FALWI 
553|('Fort Worth', 'TX')|MICHAELS #2048 FORT WORTH  TX     CREDIT 
554||MICROSOFT *ZUNE 
555|('Taylors Falls', 'MN')|MIKES GENERAL STORE      TAYLORS FALLSMN 
556|('Jacksonville', 'FL')|MILANO S AT KERNAN       JACKSONVILLE FL 
557|('Millington', 'TN')|MILANO'S PIZZA LLC       MILLINGTON   TN 
558|('Mobridge', 'SD')|MOBRIDGE PIZZA RANCH MOBRMOBRIDGE     SD 
559||MOLLY MAID OF NORTHEAST  818-673-8111 CA 
560|('New York City', 'NY')|MONKEY BAR               NEW YORK     NY 
561|('Minneapolis', 'MN')|MOTO-I                   MINNEAPOLIS  MN 
562|('Durant', 'OK')|MURPHY6835ATWALMRT       DURANT       OK 
563|('Shawnee', 'OK')|MURPHY7089ATWALMRT       SHAWNEE      OK 
564||MURPHY7238ATWALMRT       HUDSON OAKS  TX 
565|('Annapolis', 'MD')|NAVY EXCHANGE 050460 0003ANNAPOLIS    MD 
566|('Pearl Harbor', 'HI')|NAVY EXCHANGE 140160     PEARL HARBOR HI 
567||NAVY EXCHANGE 210027     FPO          AE 
568|('Boston', 'MA')|NE AQUARIUM              BOSTON       MA 
569||NETFLIX NONE        LOS GATOS   2145999172  NONE 
570||NETFLIX NONE        LOS GATOS   2170443230  NONE 
571|('Atlanta', 'GA')|NOCHE BROOKHAVEN         ATLANTA      GA 
572||NORDSTROM #0622          TOWNSON      MD 
573||NVCCLOUDOUNBKSTORE #65   703-430-9639 VA 
574|('Alexandria', 'VA')|OLD TOWN SERVICE STATION ALEXANDRIA   VA 
575|('Katonah', 'NY')|OLIVER'S                 KATONAH      NY 
576||OR VETERINARY MED EXAM BD971-6730224  OR 
577||OSAKA                    BEAVERCREEK  OH 
578|('Chantilly', 'VA')|OURISMAN CHANTILLY IMP   CHANTILLY    VA 
579|('Monroe', 'OH')|PACSUN #1146             MONROE       OH 
580|('Littleton', 'CO')|PANERA BREAD #3068       LITTLETON    CO 
581|('Chevy Chase', 'MD')|PANERA BREAD #3572 000000CHEVY CHASE  MD 
582|('West Nyack', 'NY')|PAPAYA CLOTHING          WEST NYACK   NY 
583|('Alexandria', 'VA')|PARKING METERS           ALEXANDRIA   VA 
584|('Cedar Hill', 'TX')|PARTY CITY #481          CEDAR HILL   TX 
585|('Devon', 'PA')|PATHMARK 76-248          DEVON        PA 
586|('Devon', 'PA')|PATHMARK 76-248          DEVON        PA 
587|('San Antonio', 'TX')|PAYMENT-THANK YOU        SAN ANTONIO  TX 
588|('San Antonio', 'TX')|PAYMENT-THANK YOU        SAN ANTONIO  TX 
589|('Pearl Harbor', 'HI')|PEARL HARBOR COMMISSAR   PEARL HARBOR HI 
590|('Grand Forks', 'ND')|PETCO  632    63506323   GRAND FORKS  ND 
591|('Austin', 'TX')|PETSMART INC 1185        AUSTIN       TX 
592|('Pottstown', 'PA')|PICTURE PEOPLE           POTTSTOWN    PA 
593||PILOT                    Lake Point   UT 
594|('Oak Grove', 'KY')|PILOT         00006627   OAK GROVE    KY 
595||PINNACLE CAR WASH 04GULF SHORES 003286781   AUTO SERVICE 
596||PMI BWI AIRPORT PARK     BWI AIRPORT  MD 
597||PMI BWI AIRPORT PARKNG   BWI AIRPORT  MD 
598|('Suwanee', 'GA')|POP'S WINE & SPIRIT      SUWANEE      GA 
599|('Woodstock', 'GA')|PUBLIX #463              WOODSTOCK    GA 
600|('West Des Moines', 'IA')|PURCHASE 12-29-11 EXECUTIVE LASE1500 W DES MOINES IA auth# 471777 
601||QT 881        08008815   FT WORTH     TX 
602|('Marysville', 'CA')|QUICKS GLASS SERVICE #   MARYSVILLE   CA 
603||RADIOLOGICAL SCTY NA W   06305907726  IL 
604|('Seattle', 'WA')|RADIOSHACK COR00133017 SEATTLE      WA 
605|('Fullerton', 'CA')|RALPHS #0067             FULLERTON    CA 
606||RAMST INNS - RAMSTEIN    APO          AE 
607|('Austin', 'TX')|RANDALLS STORE00024836   AUSTIN       TX 
608|('Catoosa', 'OK')|REASOR'S #17             CATOOSA      OK 
609|('Arlington', 'VA')|RESTAURANT 3             ARLINGTON    VA 
610|('Mc Lean', 'VA')|RITE AID STORE 3723Q05   MCLEAN       VA 
611||ROCK AUTO                06086611376  WI 
612|('Clovis', 'NM')|RODEN SMITH              CLOVIS       NM 
613|('Sierra Vista', 'AZ')|RODOLFOS TACO SHOP       SIERRA VISTA AZ 
614||ROSA'S CAFE #019         WATAUGA      TX 
615|('Las Vegas', 'NV')|ROSS STORES #703         LAS VEGAS    NV 
616||ROYAL MART #10 54292HARRISONBUR 228027285   5404322339 
617|('Rio Rancho', 'NM')|RR 5 CAFE     50168129   RIO RANCHO   NM 
618|('Chantilly', 'VA')|RUBY TUESDAY #2706       CHANTILLY    VA 
619|('Huntsville', 'AL')|RUGGBY'S                 HUNTSVILLE   AL 
620|('Puyallup', 'WA')|SAFEWAY  FUEL 10026409   PUYALLUP     WA 
621||SAFEWAY  STORE  1258DIXON       GROCERY STORE 
622||SAFEWAY  STORE  1294KENT        GROCERY STORE 
623|('Seattle', 'WA')|SAFEWAY  STORE00004234 SEATTLE      WA 
624|('Glendale', 'AZ')|SAFEWAY  STORE00015107   GLENDALE     AZ 
625|('Dallas', 'TX')|SAFEWAY FUEL  10036507   DALLAS       TX 
626|('Surprise', 'AZ')|SAM'S #4955              SURPRISE     AZ 
627|('Houston', 'TX')|SAMSCLUB #4721           HOUSTON      TX 
628|('Brooksville', 'FL')|SAMSCLUB #4818           BROOKSVILLE  FL 
629|('Austin', 'TX')|SAMSCLUB #6453           AUSTIN       TX 
630||SAMSCLUB #8267           CORPUS CHRIS TX 
631||SAMSCLUB #8277           WHITE SETTLEMTX 
632|('Pooler', 'GA')|SAMSCLUB 4820 GAS        POOLER       GA 
633|('Pooler', 'GA')|SAMSCLUB 4820 GAS        POOLER       GA 
634||SAMSCLUB 6524 GAS        COLONIAL HEIGVA 
635|('Round Rock', 'TX')|SANDELLA'S FLATBREAD C   ROUND ROCK   TX 
636|('Saugerties', 'NY')|SAUGERTIES ANIMAL H      SAUGERTIES   NY 
637||SCHNUCKS 177 SEVEN HOFALLON     219173330   6186325525 
638||SCOTT MCLENDON HARDWARE2 
639||SF RECREATION & PARKS    0001         CA 
640|('Brunswick', 'ME')|SHAW'S MARKET #7628    BRUNSWICK    ME 
641||SHELL OIL 57443305404    FAIRVIEW HEIGIL 
642||SHELL OIL 57443810809    LAKEWOOD     CO 
643|('Slidell', 'LA')|SHELL OIL 575244310QPS   SLIDELL      LA 
644|('Madisonville', 'TX')|SHELL OIL 57542203609    MADISONVILLE TX 
645|('Newport', 'RI')|SHELL OIL 575429787QPS   NEWPORT      RI 
646|('Woodbridge', 'VA')|SHELL OIL 57543992408    WOODBRIDGE   VA 
647|('Elgin', 'SC')|SHELL OIL 910027427QPS   ELGIN        SC 
648|('Ridgefield', 'WA')|SHELL OIL 930040957QPS   RIDGEFIELD   WA 
649|('Sumter', 'SC')|SIMPSONS ACE HARDWARE    SUMTER       SC 
650||SOUTH MOON UNDER 80 IN   410-641-1644 MD 
651|('Henderson', 'NV')|SPEEDEE MART #111        HENDERSON    NV 
652|('San Diego', 'CA')|SPORT CHALET  000059 4010SAN DIEGO    CA 
653|('Atlanta', 'GA')|SPORTS AUTHORI004267 0990ATLANTA      GA 
654||SPRINGS LIQUOR OUTLET    COLORADO SPRICO 
655|('Beech Island', 'SC')|SPRINT FOODS # 1         BEECH ISLAND SC 
656||ST PAUL EYE CLINIC OPTCTREAGAN        MN 
657||STAPLES       00115402   EAST LONGMEADMA 
658||STARBUCKS CORP00087965   MAYFLD HGHTS OH 
659||STARBUCKS CORP00102624   LONE TREE    CO 
660|('Breckenridge', 'CO')|STEAK AND RIB            BRECKENRIDGE CO 
661||STEGER MUKLUKS           218-3656553  MN 
662|('Poughkeepsie', 'NY')|STOP & SHOP #597         POUGHKEEPSIE NY 
663|('Madison', 'CT')|STOP & SHOP #624         MADISON      CT 
664|('Lusby', 'MD')|STOP & SHOP FUEL #343    LUSBY        MD 
665|('Cincinnati', 'OH')|SUBWAY        030890 2550CINCINNATI   OH 
666|('Littleton', 'CO')|SUBWAY        224493 2550LITTLETON    CO 
667||SUBWAY 00180372 
668|('Pavilion', 'NY')|SUGAR CREEK #150         PAVILION     NY 
669||SUNOCO 0323678301        SEVEN FIELDS PA 
670|('Sterling', 'VA')|SUNOCO 0398829201        STERLING     VA 
671|('Harvey', 'LA')|SUPERIOR HONDA           HARVEY       LA 
672|('Brooklyn', 'NY')|T J MAXX #1186           BROOKLYN     NY 
673|('Myrtle Beach', 'SC')|T MOBILE 9386            MYRTLE BEACH SC 
674|('Jacksonville', 'NC')|TACO BELL 001200012666   JACKSONVILLE NC 
675|('Sherwood', 'AR')|TACO BELL 591            SHERWOOD     AR 
676|('Leesburg', 'VA')|TALLY HO THEATRE         LEESBURG     VA 
677|('Albuquerque', 'NM')|TARGET        00003574   ALBUQUERQUE  NM 
678|('Austin', 'TX')|TARGET        00015420   AUSTIN       TX 
679|('Stafford', 'VA')|TARGET        00018572   STAFFORD     VA 
680|('El Paso', 'TX')|TARGET        00022160   EL PASO      TX 
681|('Annapolis', 'MD')|TARGET        00022715   ANNAPOLIS    MD 
682|('Anchorage', 'AK')|TARGET        00023713   ANCHORAGE    AK 
683||TAVERN BY THE SEA        NORTH KINGSTORI 
684|('Arlington', 'TX')|TEXAS AUTO               ARLINGTON    TX 
685|('Burke', 'VA')|THE ALLERGY & ASTHMA C   BURKE        VA 
686|('Los Alamos', 'NM')|THE COFFEE BOOTH         LOS ALAMOS   NM 
687|('Hanford', 'CA')|THE HOME DEPOT #1073     HANFORD      CA 
688|('Aberdeen', 'MD')|THE HOME DEPOT #2510     ABERDEEN     MD 
689|('Marietta', 'GA')|THE HOME DEPOT 111       MARIETTA     GA 
690|('Marietta', 'GA')|THE HOME DEPOT 111       MARIETTA     GA 
691||THE HOME DEPOT 132       CAROLLTON    GA 
692||THE HOME DEPOT 1512      FT. COLLINS  CO 
693|('West Des Moines', 'IA')|THE HOME DEPOT 2103      W. DES MOINESIA 
694|('Kannapolis', 'NC')|THE HOME DEPOT 3607      KANNAPOLIS   NC 
695|('Yuma', 'AZ')|THE HOME DEPOT 402       YUMA         AZ 
696||THE HOME DEPOT 4626      VIRGINIA BCH VA 
697|('Kemah', 'TX')|THE HOME DEPOT 6560      KEMAH        TX 
698|('Livermore', 'CA')|THE HOME DEPOT 6678      LIVERMORE    CA 
699||THE LITTLE RED BARN      PACE         FL 
700|('Woodbridge', 'VA')|THE MENS WEARHOUSE #35   WOODBRIDGE   VA 
701|('Destin', 'FL')|THE OLIVE GARD00016899   DESTIN       FL 
702||TIRE KINGDOM 294         BEAVERCREEK  OH 
703|('Canton', 'GA')|TJ MAXX #1131            CANTON       GA 
704|('Crestview', 'FL')|TOM THUMB 118      Q39   CRESTVIEW    FL 
705|('Gulfport', 'MS')|TONY'S BRICK OVEN PIZZ   GULFPORT     MS 
706|('Savannah', 'GA')|TOYS R US #8754    QPS   SAVANNAH     GA 
707|('Bennington', 'VT')|TRACTOR SUPPLY #753      BENNINGTON   VT 
708|('San Rafael', 'CA')|TRADER JOE'S #061  QPS   SAN RAFAEL   CA 
709|('Raleigh', 'NC')|TRADER JOE'S #746  QPS 74RALEIGH      NC 
710||TRIWEST HEALTHCARE PRI   08888749378  AZ 
711|('Fairborn', 'OH')|TSAOS CUISINE            FAIRBORN     OH 
712|('West Chester', 'OH')|UNITED DAIRY FARMERS #   WEST CHESTER OH 
713|('Scottsdale', 'AZ')|US TAX AID               SCOTTSDALE   AZ 
714|('San Antonio', 'TX')|USAA FSB-OVERDRAFT       SAN ANTONIO  TX 
715|('San Antonio', 'TX')|USAA FSB-OVERDRAFT       SAN ANTONIO  TX 
716|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
717|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
718|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
719|('Enterprise', 'AL')|USPS 01276095517901620   ENTERPRISE   AL 
720||USPS 48470495524802845   KILEEN       TX 
721||UTAH-DMV OFFICES 80000089SALT LAKE CITUT 
722||UW MADISON DINING RETAIL 
723|('San Antonio', 'TX')|VALERO 1002 0000000006433SAN ANTONIO  TX 
724|('Tucson', 'AZ')|VALERO 1657              TUCSON       AZ 
725|('Fairfax', 'VA')|VICTORIA'S SECRET 0020   FAIRFAX      VA 
726|('San Francisco', 'CA')|VIRGIN A 98421305108790  SAN FRANCISCOCA 
727|('Burlingame', 'CA')|VIRGIN AM                BURLINGAME   CA 
728|('Las Vegas', 'NV')|VS SHOPPES @ PALAZZO 1459LAS VEGAS    NV 
729|('Oklahoma City', 'OK')|WALGREENS #4603          OKLAHOMA CITYOK 
730|('Greenwood', 'IN')|WALGREENS #5853          GREENWOOD    IN 
731|('Dothan', 'AL')|WALGREENS #7405          DOTHAN       AL 
732|('Flanders', 'NJ')|WAL-MART                 FLANDERS     NJ 
733|('Pearl', 'MS')|WAL-MART #0365           PEARL        MS 
734|('Kenedy', 'TX')|WAL-MART #0524           KENEDY       TX 
735|('La Place', 'LA')|WAL-MART #0961           LA PLACE     LA 
736|('Chattanooga', 'TN')|WAL-MART #1469           CHATTANOOGA  TN 
737|('Auburn', 'IN')|WAL-MART #1570         AUBURN       IN 
738|('La Vista', 'NE')|WAL-MART #1671           LA VISTA     NE 
739|('Marietta', 'GA')|WAL-MART #1766           MARIETTA     GA 
740||WAL-MART #3441           WHITE PLAINESNY 
741|('Marinette', 'WI')|WAL-MART SUPERCENTER#2545MARINETTE    WI 
742|('Cornwall', 'NY')|WASABI SESAME CORP       CORNWALL     NY 
743|('Gainesville', 'VA')|WAWA 651      00006510   GAINESVILLE  VA 
744|('Tonawanda', 'NY')|WENDY'S  #0815     Q25 00TONAWANDA    NY 
745|('Harrisburg', 'PA')|WENDYS0399 Q25 HARRISBURG PA 
746|('San Antonio', 'TX')|WHATABURGER 717    Q26   SAN ANTONIO  TX 
747|('Roseville', 'CA')|WHOLEFDS ROS 10230 000000ROSEVILLE    CA 
748||WINE NATION              POTOMAC      MD 
749|('Metairie', 'LA')|WINN-DIXIE   #1329 000001METAIRIE     LA 
750|('Dallas', 'TX')|WM SUPERCENTER           DALLAS       TX 
751|('Eatonton', 'GA')|WM SUPERCENTER           EATONTON     GA 
752|('Norman', 'OK')|WRIGHTS FAMILY MARKE     NORMAN       OK 
